order_id,order_date,customer_id,product_id,category,region,sales_channel,quantity,unit_price,sales_amount,payment_type,discount_pct
O000137,2026-02-26,C0047,P0121,Toys,Southeast,Online,3.0,1382.1,3317.04,Pix,0.2
O000138,2026-01-17,C1050,P0292,Office,Midwest,Marketplace,1.0,135.93,122.34,Debit Card,0.1
O000139,2026-02-21,C0719,P0303,Accessories,Midwest,Online,2.0,1142.33,2170.43,Pix,0.05
O000140,2026-02-14,C0666,P0014,Home,Southeast,Store,3.0,386.13,1042.55,Pix,0.1
O000141,2026-02-16,C0919,P0238,Office,North,Online,3.0,802.85,1926.84,Debit Card,0.2
O000142,2026-01-18,C0806,P0227,Home,Midwest,Marketplace,3.0,371.28,1113.84,Debit Card,0.0
O000143,2026-02-24,C0485,P0028,Home,North,Store,2.0,850.31,1700.62,Boleto,0.0
O000144,2026-02-08,C0086,P0126,Accessories,Northeast,Store,4.0,357.49,1143.97,Boleto,0.2
O000145,2026-01-20,C0025,P0068,Electronics,South,Store,2.0,1185.87,1897.39,Boleto,0.2
O000146,2026-01-18,C0111,P0228,Office,North,Marketplace,2.0,841.04,1682.08,Boleto,0.0
O000147,2026-02-13,C0595,P0042,Toys,North,Store,1.0,512.8,435.88,Pix,0.15
O000148,2026-01-26,C1344,P0226,Toys,Midwest,Marketplace,3.0,540.58,1297.39,Debit Card,0.2
O000149,2026-01-06,C1401,P0289,Toys,South,Store,5.0,161.66,687.06,Boleto,0.15
O000150,2026-01-30,C0843,P0318,Toys,North,Store,1.0,129.55,116.6,Pix,0.1
O000152,2026-01-20,C0075,P0004,Office,Northeast,Online,1.0,741.22,667.1,Boleto,0.1
O000153,2026-02-26,C0194,P0335,Office,Northeast,Marketplace,3.0,861.7,2326.59,Credit Card,0.1
O000154,2026-02-14,C1324,P0133,Electronics,Midwest,Online,2.0,492.28,886.1,Boleto,0.1
O000155,2026-01-20,C0225,P0020,Home,North,Store,1.0,799.46,799.46,Boleto,0.0
O000156,2026-01-26,C0654,P0320,Accessories,South,Store,5.0,764.09,3247.38,Pix,0.15
O000157,2026-01-13,C0259,P0161,Accessories,Midwest,Store,2.0,686.86,1098.98,Boleto,0.2
O000158,2026-01-23,C0172,P0386,Accessories,North,Store,5.0,1030.01,4377.54,Credit Card,0.15
O000159,2026-01-01,C1343,P0101,Office,North,Store,1.0,1142.74,1028.47,Debit Card,0.1
O000160,2026-01-15,C1443,P0094,Electronics,North,Online,1.0,1277.58,1085.94,Debit Card,0.15
O000161,2026-02-13,C0334,P0373,Home,North,Marketplace,3.0,1408.13,3590.73,Debit Card,0.15
O000162,2026-02-04,C0513,P0296,Home,South,Store,4.0,1264.32,4551.55,Credit Card,0.1
O000163,2026-02-10,C1253,P0270,Office,South,Store,4.0,253.85,812.32,Pix,0.2
O000164,2026-02-06,C0005,P0339,Accessories,South,Marketplace,3.0,954.3,2433.46,Credit Card,0.15
O000165,2026-01-25,C1066,P0089,Home,Southeast,Online,2.0,1226.73,2208.11,Credit Card,0.1
O000166,2026-02-07,C1047,P0063,Accessories,Northeast,Marketplace,1.0,356.0,356.0,Boleto,0.0
O000167,2026-02-16,C0503,P0309,Toys,South,Online,3.0,818.85,2210.9,Debit Card,0.1
O000168,2026-01-07,C1203,P0042,Electronics,Southeast,Marketplace,4.0,1193.1,3817.92,Credit Card,0.2
O000169,2026-02-02,C0478,P0231,Office,North,Store,3.0,1185.01,3555.03,Boleto,0.0
O000170,2026-02-02,C1021,P0289,Accessories,North,Marketplace,4.0,859.14,3264.73,Pix,0.05
O000171,2026-01-05,C0865,P0118,Electronics,Midwest,Store,5.0,174.84,743.07,Credit Card,0.15
O000172,2026-02-14,C0216,P0184,Toys,Southeast,Marketplace,5.0,814.39,3257.56,Boleto,0.2
O000173,2026-02-16,C0324,P0332,Home,Midwest,Online,5.0,1082.85,4872.82,Pix,0.1
O000174,2026-02-20,C1316,P0282,Office,Northeast,Store,3.0,902.55,2301.5,Boleto,0.15
O000175,2026-01-11,C1278,P0330,Toys,Northeast,Store,2.0,1421.45,2416.46,Pix,0.15
O000176,2026-01-26,C0141,P0104,Home,North,Store,2.0,921.07,1565.82,Boleto,0.15
O000177,2026-02-12,C1484,P0356,Home,Midwest,Marketplace,4.0,1187.23,3799.14,Boleto,0.2
O000178,2026-01-08,C0127,P0106,Accessories,North,Store,1.0,868.67,825.24,Pix,0.05
O000179,2026-01-09,C1014,P0051,Home,Midwest,Online,5.0,165.33,826.65,Pix,0.0
O000180,2026-01-22,C0779,P0257,Accessories,Southeast,Store,5.0,1477.41,6278.99,Pix,0.15
O000181,2026-02-23,C0983,P0313,Office,North,Marketplace,1.0,1306.15,1175.54,Debit Card,0.1
O000182,2026-02-09,C0661,P0309,Electronics,South,Marketplace,1.0,316.31,316.31,Boleto,0.0
O000183,2026-02-22,C0937,P0291,Toys,Northeast,Online,4.0,810.72,2918.59,Boleto,0.1
O000184,2026-02-07,C0386,P0391,Toys,Midwest,Online,2.0,726.45,1307.61,Credit Card,0.1
O000186,2026-01-07,C1204,P0198,Accessories,Northeast,Store,5.0,1373.12,6865.6,Boleto,0.0
O000187,2026-01-29,C0063,P0150,Office,Northeast,Store,2.0,29.51,47.22,Boleto,0.2
O000188,2026-02-18,C0967,P0337,Office,Southeast,Store,4.0,693.89,2359.23,Boleto,0.15
O000189,2026-02-23,C0342,P0063,Accessories,Southeast,Store,5.0,284.85,1424.25,Debit Card,0.0
O000190,2026-02-01,C1165,P0215,Electronics,South,Store,3.0,322.76,871.45,Credit Card,0.1
O000191,2026-02-01,C0670,P0285,Office,South,Online,1.0,64.46,58.01,Debit Card,0.1
O000192,2026-01-18,C0769,P0078,Toys,Southeast,Marketplace,3.0,685.4,1953.39,Pix,0.05
O000194,2026-01-04,C1288,P0055,Accessories,South,Store,3.0,566.23,1613.76,Credit Card,0.05
O000195,2026-01-19,C0162,P0380,Office,South,Store,1.0,47.83,40.66,Credit Card,0.15
O000196,2026-02-01,C1202,P0391,Electronics,Northeast,Store,5.0,617.9,3089.5,Debit Card,0.0
O000197,2026-02-24,C0443,P0255,Toys,North,Online,5.0,896.62,4483.1,Pix,0.0
O000198,2026-02-16,C1253,P0067,Toys,Midwest,Store,3.0,982.59,2800.38,Pix,0.05
O000199,2026-02-04,C0096,P0088,Home,North,Store,3.0,1444.35,3683.09,Boleto,0.15
O000200,2026-02-06,C0182,P0398,Electronics,North,Store,2.0,29.37,58.74,Boleto,0.0
O000201,2026-01-23,C1109,P0147,Electronics,Northeast,Marketplace,5.0,1315.9,5263.6,Credit Card,0.2
O000202,2026-03-01,C0082,P0002,Home,South,Marketplace,1.0,1227.99,1043.79,Pix,0.15
O000203,2026-01-11,C0746,P0386,Electronics,South,Online,3.0,889.54,2268.33,Boleto,0.15
O000204,2026-01-20,C0261,P0293,Office,Northeast,Marketplace,1.0,659.83,560.86,Debit Card,0.15
O000205,2026-02-04,C0854,P0364,Office,Midwest,Store,1.0,1304.02,1173.62,Boleto,0.1
O000206,2026-02-15,C0128,P0224,Accessories,Northeast,Store,1.0,732.32,732.32,Pix,0.0
O000207,2026-01-14,C0521,P0040,Office,Northeast,Online,2.0,953.88,1907.76,Credit Card,0.0
O000208,2026-02-23,C1302,P0235,Home,South,Store,4.0,207.09,662.69,Credit Card,0.2
O000209,2026-02-14,C0610,P0215,Home,South,Online,5.0,23664.55,112406.61,Credit Card,0.05
O000210,2026-01-21,C0042,P0356,Home,North,Store,1.0,418.34,418.34,Boleto,0.0
O000211,2026-02-06,C1177,P0378,Office,Midwest,Store,4.0,317.57,1206.77,Credit Card,0.05
O000212,2026-01-22,C0027,P0313,Home,Southeast,Marketplace,3.0,900.15,2295.38,Pix,0.15
O000213,2026-02-14,C0821,P0394,Toys,North,Marketplace,5.0,1258.78,5035.12,Debit Card,0.2
O000214,2026-01-28,C0702,P0122,Accessories,Northeast,Marketplace,2.0,257.76,463.97,Debit Card,0.1
O000215,2026-01-01,C0819,P0181,Toys,North,Marketplace,4.0,1158.77,3708.06,Debit Card,0.2
O000216,2026-01-21,C1320,P0011,Home,Southeast,Online,4.0,1081.38,3892.97,Credit Card,0.1
O000218,2026-02-05,C0751,P0148,Toys,North,Store,3.0,896.67,2421.01,Pix,0.1
O000219,2026-01-17,C0958,P0365,Toys,Southeast,Marketplace,3.0,508.02,1447.86,Boleto,0.05
O000220,2026-01-02,C0073,P0201,Toys,North,Marketplace,1.0,625.06,500.05,Credit Card,0.2
O000221,2026-02-12,C0042,P0025,Toys,Southeast,Marketplace,3.0,1230.46,2953.1,Pix,0.2
O000222,2026-02-13,C0172,P0102,Electronics,North,Online,2.0,163.61,261.78,Credit Card,0.2
O000223,2026-02-13,C0817,P0017,Accessories,Northeast,Online,2.0,1038.93,2077.86,Debit Card,0.0
O000224,2026-02-16,C0012,P0318,Toys,Northeast,Marketplace,3.0,1101.02,2642.45,Boleto,0.2
O000225,2026-01-17,C0374,P0198,Accessories,South,Marketplace,1.0,1356.01,1152.61,Boleto,0.15
O000226,2026-01-15,C0489,P0365,Toys,North,Store,2.0,68.75,130.62,Pix,0.05
O000227,2026-01-16,C0711,P0282,Toys,Southeast,Store,5.0,715.08,2860.32,Credit Card,0.2
O000228,2026-01-07,C0137,P0371,Home,Southeast,Store,2.0,638.43,1021.49,Boleto,0.2
O000230,2026-02-08,C1297,P0014,Toys,North,Store,3.0,845.41,2028.98,Pix,0.2
O000231,2026-02-03,C0131,P0293,Accessories,North,Store,3.0,516.41,1316.85,Credit Card,0.15
O000232,2026-02-08,C0497,P0004,Office,Midwest,Store,5.0,995.87,3983.48,Credit Card,0.2
O000233,2026-01-18,C1185,P0016,Home,Northeast,Store,5.0,927.64,4406.29,Boleto,0.05
O000234,2026-02-24,C0739,P0170,Toys,North,Online,2.0,41.69,66.7,Pix,0.2
O000235,2026-01-13,C1298,P0096,Office,South,Store,3.0,114.34,291.57,Boleto,0.15
O000236,2026-01-29,C0958,P0318,Toys,North,Online,5.0,724.87,3080.7,Debit Card,0.15
O000237,2026-02-16,C0377,P0266,Home,Southeast,Marketplace,1.0,511.19,434.51,Credit Card,0.15
O000238,2026-01-05,C0577,P0177,Office,Midwest,Online,3.0,706.29,2012.93,Debit Card,0.05
O000239,2026-01-04,C0146,P0293,Electronics,Midwest,Online,1.0,423.13,338.5,Debit Card,0.2
O000240,2026-02-15,C0585,P0399,Toys,Southeast,Marketplace,1.0,593.53,504.5,Pix,0.15
O000241,2026-01-12,C0187,P0293,Toys,Midwest,Store,5.0,395.88,1682.49,Debit Card,0.15
O000242,2026-01-06,C0807,P0319,Toys,Northeast,Online,3.0,1356.55,3866.17,Boleto,0.05
O000243,2026-01-25,C0564,P0260,Home,Northeast,Marketplace,3.0,608.35,1460.04,Debit Card,0.2
O000244,2026-02-23,C0885,P0243,Electronics,Southeast,Store,5.0,189.3,851.85,Pix,0.1
O000245,2026-02-03,C0825,P0218,Office,Southeast,Online,1.0,287.79,259.01,Pix,0.1
O000246,2026-02-25,C0054,P0047,Accessories,Northeast,Marketplace,1.0,782.21,664.88,Boleto,0.15
O000247,2026-02-27,C0419,P0178,Home,Midwest,Marketplace,2.0,1047.07,1884.73,Boleto,0.1
O000248,2026-02-01,C0781,P0120,Accessories,Southeast,Marketplace,5.0,810.09,4050.45,Boleto,0.0
O000249,2026-01-04,C1381,P0098,Toys,Southeast,Online,3.0,1317.42,3557.03,Debit Card,0.1
O000250,2026-02-28,C0988,P0029,Office,Midwest,Online,1.0,76.12,72.31,Boleto,0.05
O000251,2026-01-12,C0170,P0009,Electronics,Southeast,Marketplace,1.0,830.78,747.7,Boleto,0.1
O000252,2026-02-03,C0984,P0124,Toys,Midwest,Marketplace,3.0,1087.9,3100.52,Debit Card,0.05
O000253,2026-01-18,C0454,P0037,Toys,North,Online,4.0,173.11,588.57,Pix,0.15
O000254,2026-01-05,C0973,P0081,Electronics,Midwest,Online,2.0,747.77,1196.43,Boleto,0.2
O000255,2026-02-20,C0698,P0323,Electronics,South,Store,2.0,820.23,1312.37,Debit Card,0.2
O000256,2026-02-14,C1313,P0262,Electronics,Midwest,Store,3.0,1303.56,3324.08,Pix,0.15
O000257,2026-02-02,C0571,P0059,Office,Midwest,Marketplace,1.0,507.67,406.14,Credit Card,0.2
O000258,2026-01-25,C1194,P0356,Accessories,Northeast,Store,3.0,1131.55,2715.72,Pix,0.2
O000259,2026-02-12,C0557,P0314,Toys,Northeast,Online,1.0,53.58,50.9,Credit Card,0.05
O000260,2026-01-10,C0672,P0363,Home,Southeast,Online,5.0,1117.83,5309.69,Credit Card,0.05
O000261,2026-02-05,C1282,P0206,Toys,North,Marketplace,5.0,766.13,3639.12,Credit Card,0.05
O000262,2026-02-01,C1070,P0155,Toys,South,Marketplace,1.0,844.17,801.96,Pix,0.05
O000263,2026-03-01,C0448,P0344,Electronics,North,Store,5.0,1171.97,5273.87,Credit Card,0.1
O000264,2026-01-30,C1479,P0074,Accessories,Southeast,Store,1.0,1444.86,1228.13,Boleto,0.15
O000265,2026-03-01,C0335,P0222,Home,South,Marketplace,5.0,162.74,691.64,Boleto,0.15
O000266,2026-01-20,C0484,P0242,Office,South,Online,4.0,458.44,1833.76,Debit Card,0.0
O000267,2026-01-12,C0918,P0394,Electronics,Northeast,Store,1.0,96.3,86.67,Debit Card,0.1
O000268,2026-01-18,C0306,P0270,Toys,Northeast,Online,5.0,674.48,3035.16,Debit Card,0.1
O000269,2026-02-04,C0948,P0381,Toys,Southeast,Store,4.0,46.63,167.87,Pix,0.1
O000270,2026-02-02,C0879,P0079,Electronics,Midwest,Store,3.0,386.24,1100.78,Debit Card,0.05
O000271,2026-02-03,C1454,P0226,Electronics,Midwest,Store,5.0,1417.01,6376.54,Pix,0.1
O000272,2026-01-13,C0039,P0271,Toys,Southeast,Store,5.0,1043.59,4435.26,Pix,0.15
O000273,2026-02-01,C1154,P0175,Home,Midwest,Store,4.0,985.22,3546.79,Credit Card,0.1
O000274,2026-01-03,C0849,P0382,Home,Midwest,Marketplace,4.0,56.64,181.25,Pix,0.2
O000275,2026-01-21,C0303,P0357,Office,Southeast,Marketplace,3.0,1447.14,3907.28,Pix,0.1
O000276,2026-02-26,C1477,P0387,Electronics,Midwest,Store,3.0,619.91,1580.77,Credit Card,0.15
